Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
IR Controller Online
Light Controller Online
Master Init Complete
07/21/2011, 15:44:16, Switching to instrument 0
07/21/2011, 15:45:04, Note,4
07/21/2011, 15:45:05, Note,6
07/21/2011, 15:45:05, Note,3
07/21/2011, 15:45:05, Note,5
07/21/2011, 15:45:05, Note,2
07/21/2011, 15:45:05, Note,4
07/21/2011, 15:45:05, Note,1
07/21/2011, 15:45:05, Note,2
07/21/2011, 15:45:05, Note,5
07/21/2011, 15:45:05, Note,6
07/21/2011, 15:45:05, Note,3
07/21/2011, 15:45:05, Note,5
07/21/2011, 15:45:05, Note,2
07/21/2011, 15:45:05, Note,3
07/21/2011, 15:45:06, Note,1
07/21/2011, 15:45:06, Note,4
07/21/2011, 15:45:06, Note,5
07/21/2011, 15:45:06, Note,2
07/21/2011, 15:45:06, Note,6
07/21/2011, 15:45:06, Note,3
07/21/2011, 15:45:06, Note,7
07/21/2011, 15:45:06, Note,4
07/21/2011, 15:45:06, Note,8
07/21/2011, 15:45:06, Note,7
07/21/2011, 15:45:06, Note,3
07/21/2011, 15:45:06, Note,2
07/21/2011, 15:45:07, Note,2
07/21/2011, 15:45:07, Note,7
07/21/2011, 15:45:07, Note,8
07/21/2011, 15:45:07, Note,8
07/21/2011, 15:45:07, Note,2
07/21/2011, 15:45:07, Note,6
07/21/2011, 15:45:07, Note,2
07/21/2011, 15:45:07, Note,4
07/21/2011, 15:45:08, Note,2
07/21/2011, 15:45:08, Note,3
07/21/2011, 15:45:08, Note,2
07/21/2011, 15:45:08, Note,1
07/21/2011, 15:45:08, Note,1
07/21/2011, 15:45:08, Note,2
07/21/2011, 15:45:08, Note,3
07/21/2011, 15:45:09, Note,5
07/21/2011, 15:45:09, Note,6
07/21/2011, 15:45:09, Note,7
07/21/2011, 15:45:09, Note,8
07/21/2011, 15:45:10, Note,7
07/21/2011, 15:45:10, Note,4
07/21/2011, 15:45:10, Note,3
07/21/2011, 15:45:10, Note,2
07/21/2011, 15:45:11, Note,2
07/21/2011, 15:45:11, Note,3
07/21/2011, 15:45:11, Note,4
07/21/2011, 15:45:11, Note,5
07/21/2011, 15:45:11, Note,7
07/21/2011, 15:45:12, Note,8
07/21/2011, 15:45:14, Switching to instrument 4
07/21/2011, 15:45:14, Switching to noises
07/21/2011, 15:45:14, Note,1
07/21/2011, 15:45:15, Note,2
07/21/2011, 15:45:15, Note,4
07/21/2011, 15:45:15, Note,5
07/21/2011, 15:45:15, Note,5
07/21/2011, 15:45:15, Note,2
07/21/2011, 15:45:16, Note,2
07/21/2011, 15:45:16, Note,4
07/21/2011, 15:45:16, Note,4
07/21/2011, 15:45:16, Note,2
07/21/2011, 15:45:16, Note,2
07/21/2011, 15:45:16, Note,4
07/21/2011, 15:45:17, Note,1
07/21/2011, 15:45:17, Note,3
07/21/2011, 15:45:17, Note,3
07/21/2011, 15:45:17, Note,1
07/21/2011, 15:45:17, Note,4
07/21/2011, 15:45:17, Note,5
07/21/2011, 15:45:17, Note,6
07/21/2011, 15:45:17, Note,7
07/21/2011, 15:45:18, Note,4
07/21/2011, 15:45:18, Note,8
07/21/2011, 15:45:18, Note,8
07/21/2011, 15:45:18, Note,5
07/21/2011, 15:45:18, Note,4
07/21/2011, 15:45:18, Note,6
07/21/2011, 15:45:18, Note,3
07/21/2011, 15:45:18, Note,7
07/21/2011, 15:45:18, Note,8
07/21/2011, 15:45:18, Note,4
07/21/2011, 15:45:18, Note,7
07/21/2011, 15:45:18, Note,4
07/21/2011, 15:45:19, Note,2
07/21/2011, 15:45:19, Note,5
07/21/2011, 15:45:19, Note,6
07/21/2011, 15:45:19, Note,2
07/21/2011, 15:45:19, Note,2
07/21/2011, 15:45:19, Note,5
07/21/2011, 15:45:19, Note,2
07/21/2011, 15:45:19, Note,4
07/21/2011, 15:45:19, Note,1
07/21/2011, 15:45:19, Note,1
07/21/2011, 15:45:19, Note,5
07/21/2011, 15:45:19, Note,6
07/21/2011, 15:45:19, Note,2
07/21/2011, 15:45:20, Note,2
07/21/2011, 15:45:20, Note,7
07/21/2011, 15:45:20, Note,3
