Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
IR Controller Online
Light Controller Online
Master Init Complete
05/14/2011, 16:53:01, Note,8
05/14/2011, 16:53:11, Screen Saver
05/14/2011, 16:53:22, Screen Saver
05/14/2011, 16:53:33, Screen Saver
05/14/2011, 16:53:44, Screen Saver
05/14/2011, 16:53:55, Screen Saver
05/14/2011, 16:54:06, Screen Saver
05/14/2011, 16:54:17, Screen Saver
05/14/2011, 16:54:28, Screen Saver
05/14/2011, 16:54:39, Screen Saver
05/14/2011, 16:54:44, Note,8
05/14/2011, 16:54:45, Note,7
05/14/2011, 16:54:47, Note,5
05/14/2011, 16:54:47, Note,5
05/14/2011, 16:54:47, Note,5
05/14/2011, 16:54:48, Note,4
05/14/2011, 16:54:50, Note,1
05/14/2011, 16:54:50, Note,1
05/14/2011, 16:54:50, Note,1
05/14/2011, 16:54:51, Note,1
05/14/2011, 16:54:51, Note,1
05/14/2011, 16:54:52, Note,1
05/14/2011, 16:54:52, Switching to instrument 1
05/14/2011, 16:54:53, Note,1
05/14/2011, 16:54:55, Note,1
05/14/2011, 16:54:55, Note,1
05/14/2011, 16:54:55, Note,1
05/14/2011, 16:54:55, Note,1
05/14/2011, 16:54:55, Note,1
05/14/2011, 16:54:55, Note,2
05/14/2011, 16:54:55, Note,1
05/14/2011, 16:54:56, Note,3
05/14/2011, 16:54:57, Note,4
05/14/2011, 16:54:57, Note,5
05/14/2011, 16:54:58, Note,5
05/14/2011, 16:54:58, Note,5
05/14/2011, 16:54:58, Note,5
05/14/2011, 16:54:58, Note,5
05/14/2011, 16:54:58, Note,6
05/14/2011, 16:54:58, Note,5
05/14/2011, 16:54:58, Note,5
05/14/2011, 16:54:58, Note,5
05/14/2011, 16:54:59, Note,7
05/14/2011, 16:54:59, Note,5
05/14/2011, 16:54:59, Note,5
05/14/2011, 16:54:59, Note,7
05/14/2011, 16:54:59, Note,5
05/14/2011, 16:54:59, Note,5
05/14/2011, 16:54:59, Note,5
05/14/2011, 16:54:59, Note,5
05/14/2011, 16:54:59, Note,5
05/14/2011, 16:54:59, Note,5
05/14/2011, 16:55:00, Note,5
05/14/2011, 16:55:00, Note,5
05/14/2011, 16:55:00, Note,5
05/14/2011, 16:55:00, Note,5
05/14/2011, 16:55:00, Note,5
05/14/2011, 16:55:00, Note,5
05/14/2011, 16:55:00, Note,6
05/14/2011, 16:55:11, Screen Saver
05/14/2011, 16:55:22, Screen Saver
05/14/2011, 16:55:33, Screen Saver
05/14/2011, 16:55:35, Note,5
05/14/2011, 16:55:35, Note,5
05/14/2011, 16:55:36, Note,5
05/14/2011, 16:55:36, Note,5
05/14/2011, 16:55:36, Note,5
05/14/2011, 16:55:36, Note,5
05/14/2011, 16:55:38, Note,5
05/14/2011, 16:55:40, Note,6
05/14/2011, 16:55:40, Note,6
05/14/2011, 16:55:50, Screen Saver
05/14/2011, 16:56:01, Screen Saver
05/14/2011, 16:56:12, Screen Saver
05/14/2011, 16:56:23, Screen Saver
05/14/2011, 16:56:34, Screen Saver
05/14/2011, 16:56:45, Screen Saver
05/14/2011, 16:56:56, Screen Saver
05/14/2011, 16:57:01, Note,1
05/14/2011, 16:57:02, Note,1
05/14/2011, 16:57:02, Note,2
05/14/2011, 16:57:03, Note,2
05/14/2011, 16:57:03, Note,3
05/14/2011, 16:57:03, Note,2
05/14/2011, 16:57:03, Note,3
05/14/2011, 16:57:03, Note,4
05/14/2011, 16:57:04, Note,3
05/14/2011, 16:57:05, Note,5
05/14/2011, 16:57:05, Note,5
05/14/2011, 16:57:05, Note,5
05/14/2011, 16:57:05, Note,6
05/14/2011, 16:57:06, Note,5
05/14/2011, 16:57:06, Note,5
05/14/2011, 16:57:06, Note,7
05/14/2011, 16:57:06, Note,6
05/14/2011, 16:57:07, Note,8
05/14/2011, 16:57:07, Note,5
05/14/2011, 16:57:07, Note,7
05/14/2011, 16:57:07, Note,7
05/14/2011, 16:57:08, Note,4
05/14/2011, 16:57:08, Note,6
05/14/2011, 16:57:08, Note,5
05/14/2011, 16:57:08, Note,4
05/14/2011, 16:57:08, Note,3
05/14/2011, 16:57:09, Note,2
05/14/2011, 16:57:09, Note,1
05/14/2011, 16:57:10, Note,1
05/14/2011, 16:57:10, Note,1
05/14/2011, 16:57:10, Note,2
05/14/2011, 16:57:10, Note,3
05/14/2011, 16:57:10, Note,4
05/14/2011, 16:57:11, Note,4
05/14/2011, 16:57:11, Note,5
05/14/2011, 16:57:11, Note,6
05/14/2011, 16:57:11, Note,6
05/14/2011, 16:57:11, Note,7
05/14/2011, 16:57:12, Note,8
05/14/2011, 16:57:13, Note,7
05/14/2011, 16:57:13, Note,7
05/14/2011, 16:57:13, Note,6
05/14/2011, 16:57:14, Note,5
05/14/2011, 16:57:14, Note,4
05/14/2011, 16:57:15, Note,2
05/14/2011, 16:57:16, Note,2
05/14/2011, 16:57:16, Note,3
05/14/2011, 16:57:17, Note,3
05/14/2011, 16:57:18, Note,2
05/14/2011, 16:57:18, Note,1
05/14/2011, 16:57:19, Switching to instrument 2
05/14/2011, 16:57:20, Note,1
05/14/2011, 16:57:21, Note,2
05/14/2011, 16:57:22, Note,3
05/14/2011, 16:57:22, Note,3
05/14/2011, 16:57:22, Note,4
05/14/2011, 16:57:22, Note,4
05/14/2011, 16:57:22, Note,5
05/14/2011, 16:57:23, Note,7
