Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
GPS Configured
IR Controller Online
Light Controller Online
Master Init Complete
[GPS disabled], 3183, Note,5
[GPS disabled], 3184, Note,6
[GPS disabled], 3406, Note,1
[GPS disabled], 3406, Note,2
[GPS disabled], 3407, Note,1
[GPS disabled], 3407, Note,2
[GPS disabled], 3408, Note,2
[GPS disabled], 3408, Note,2
[GPS disabled], 3636, Note,6
[GPS disabled], 3636, Note,7
[GPS disabled], 3636, Note,6
[GPS disabled], 3637, Note,5
[GPS disabled], 3638, Note,6
[GPS disabled], 3640, Note,5
[GPS disabled], 3640, Note,4
[GPS disabled], 3641, Note,3
[GPS disabled], 3641, Note,3
[GPS disabled], 3641, Note,4
[GPS disabled], 3641, Note,5
[GPS disabled], 3642, Note,6
[GPS disabled], 3642, Note,7
[GPS disabled], 3643, Note,7
[GPS disabled], 3643, Note,6
[GPS disabled], 3643, Note,7
[GPS disabled], 3644, Note,5
[GPS disabled], 3644, Note,4
[GPS disabled], 3645, Note,3
[GPS disabled], 3659, Note,7
[GPS disabled], 3659, Note,6
[GPS disabled], 3661, Note,6
[GPS disabled], 3661, Note,6
[GPS disabled], 3661, Note,6
[GPS disabled], 3661, Note,5
[GPS disabled], 3662, Note,4
[GPS disabled], 3662, Note,2
[GPS disabled], 3663, Note,1
[GPS disabled], 3664, Switching to instrument 1
[GPS disabled], 3664, Note,6
[GPS disabled], 3664, Note,1
[GPS disabled], 3664, Note,6
[GPS disabled], 3665, Note,2
[GPS disabled], 3665, Note,6
[GPS disabled], 3665, Note,6
[GPS disabled], 3665, Note,1
[GPS disabled], 3665, Note,6
[GPS disabled], 3665, Note,6
[GPS disabled], 3665, Note,6
[GPS disabled], 3665, Note,6
[GPS disabled], 3665, Note,3
[GPS disabled], 3666, Note,6
[GPS disabled], 3666, Note,4
[GPS disabled], 3666, Note,6
[GPS disabled], 3666, Note,2
[GPS disabled], 3666, Note,6
[GPS disabled], 3666, Note,6
[GPS disabled], 3667, Note,2
[GPS disabled], 3667, Note,8
[GPS disabled], 3667, Note,2
[GPS disabled], 3667, Note,6
[GPS disabled], 3667, Note,1
[GPS disabled], 3667, Note,6
[GPS disabled], 3667, Note,6
[GPS disabled], 3667, Note,1
[GPS disabled], 3667, Note,8
[GPS disabled], 3667, Note,3
[GPS disabled], 3668, Note,3
[GPS disabled], 3668, Note,6
[GPS disabled], 3668, Note,6
[GPS disabled], 3668, Note,6
[GPS disabled], 3668, Note,6
[GPS disabled], 3668, Note,6
[GPS disabled], 3668, Note,8
[GPS disabled], 3668, Note,8
[GPS disabled], 3668, Note,6
[GPS disabled], 3668, Note,6
[GPS disabled], 3668, Note,3
[GPS disabled], 3668, Note,6
[GPS disabled], 3669, Note,5
[GPS disabled], 3669, Note,6
[GPS disabled], 3669, Note,4
[GPS disabled], 3669, Note,6
[GPS disabled], 3669, Note,6
[GPS disabled], 3669, Note,6
[GPS disabled], 3669, Note,6
[GPS disabled], 3669, Note,6
[GPS disabled], 3669, Note,6
[GPS disabled], 3669, Note,3
[GPS disabled], 3669, Note,6
[GPS disabled], 3670, Note,6
[GPS disabled], 3670, Note,2
[GPS disabled], 3670, Note,6
[GPS disabled], 3670, Note,6
[GPS disabled], 3670, Note,6
[GPS disabled], 3670, Note,3
[GPS disabled], 3670, Note,4
[GPS disabled], 3670, Note,6
[GPS disabled], 3670, Note,6
[GPS disabled], 3670, Note,3
[GPS disabled], 3670, Note,6
[GPS disabled], 3670, Note,4
[GPS disabled], 3670, Note,5
[GPS disabled], 3670, Note,6
[GPS disabled], 3671, Note,8
[GPS disabled], 3671, Note,4
[GPS disabled], 3671, Note,8
[GPS disabled], 3671, Note,5
[GPS disabled], 3671, Note,8
[GPS disabled], 3671, Note,6
[GPS disabled], 3671, Note,8
[GPS disabled], 3671, Note,8
[GPS disabled], 3671, Note,6
[GPS disabled], 3671, Note,8
[GPS disabled], 3671, Note,8
[GPS disabled], 3671, Note,6
[GPS disabled], 3672, Note,4
[GPS disabled], 3672, Note,6
[GPS disabled], 3672, Note,3
[GPS disabled], 3672, Note,8
[GPS disabled], 3672, Note,3
[GPS disabled], 3672, Note,6
[GPS disabled], 3672, Note,4
[GPS disabled], 3672, Note,8
[GPS disabled], 3672, Note,8
[GPS disabled], 3672, Note,8
[GPS disabled], 3672, Note,8
[GPS disabled], 3672, Note,6
[GPS disabled], 3672, Note,8
[GPS disabled], 3672, Note,6
[GPS disabled], 3672, Note,3
[GPS disabled], 3672, Note,2
[GPS disabled], 3672, Note,6
[GPS disabled], 3672, Note,6
[GPS disabled], 3673, Note,6
[GPS disabled], 3673, Note,6
[GPS disabled], 3673, Note,6
[GPS disabled], 3673, Note,2
[GPS disabled], 3673, Note,8
[GPS disabled], 3673, Note,2
[GPS disabled], 3673, Note,6
[GPS disabled], 3673, Note,6
[GPS disabled], 3673, Note,8
[GPS disabled], 3673, Note,6
[GPS disabled], 3673, Note,8
[GPS disabled], 3673, Note,6
[GPS disabled], 3673, Note,8
[GPS disabled], 3673, Note,6
[GPS disabled], 3673, Note,1
[GPS disabled], 3673, Note,8
[GPS disabled], 3673, Note,6
[GPS disabled], 3673, Note,8
[GPS disabled], 3673, Note,6
[GPS disabled], 3673, Note,3
[GPS disabled], 3674, Note,6
[GPS disabled], 3674, Note,6
[GPS disabled], 3674, Note,2
[GPS disabled], 3674, Note,6
[GPS disabled], 3674, Note,6
[GPS disabled], 3674, Note,6
[GPS disabled], 3674, Note,4
[GPS disabled], 3674, Note,5
[GPS disabled], 3682, Switching to instrument 2
[GPS disabled], 3689, Switching to instrument 3
[GPS disabled], 3693, Switching to instrument 4
[GPS disabled], 3735, Switching to noises
[GPS disabled], 3752, Switching to instrument 0
[GPS disabled], 3756, Switching to instrument 1
[GPS disabled], 3762, Switching to instrument 2
[GPS disabled], 3780, Switching to instrument 3
[GPS disabled], 3808, Switching to instrument 4
[GPS disabled], 3813, Switching to noises
[GPS disabled], 3848, Switching to instrument 0
[GPS disabled], 3852, Switching to instrument 1
[GPS disabled], 3854, Switching to instrument 2
[GPS disabled], 3871, Switching to instrument 3
[GPS disabled], 3873, Switching to instrument 4
[GPS disabled], 4305, Switching to noises
[GPS disabled], 4311, Switching to instrument 0
[GPS disabled], 4338, Switching to instrument 1
[GPS disabled], 4508, Switching to instrument 2
[GPS disabled], 4509, Switching to instrument 3
[GPS disabled], 4509, Switching to instrument 4
[GPS disabled], 4510, Switching to noises
[GPS disabled], 4510, Switching to instrument 0
[GPS disabled], 4512, Switching to instrument 1
[GPS disabled], 4589, Switching to instrument 2
[GPS disabled], 4590, Switching to instrument 3
[GPS disabled], 4594, Switching to instrument 4
[GPS disabled], 4595, Switching to noises
[GPS disabled], 4595, Switching to instrument 0
