Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
GPS Configured
IR Controller Online
Light Controller Online
00/00/0000, 00:00:00, Master Init Complete
00/00/0000, 00:00:00, Switching to instrument 1
04/18/2012, 15:02:29, Note,2
04/18/2012, 15:02:29, Note,3
04/18/2012, 15:02:30, Note,4
04/18/2012, 15:02:31, Note,1
04/18/2012, 15:02:31, Switching to instrument 1
04/18/2012, 15:02:31, Note,2
04/18/2012, 15:02:32, Note,2
04/18/2012, 15:02:33, Note,7
04/18/2012, 15:02:33, Note,7
04/18/2012, 15:02:33, Note,7
04/18/2012, 15:02:34, Note,4
04/18/2012, 15:02:34, Note,2
04/18/2012, 15:02:34, Note,6
04/18/2012, 15:02:34, Note,3
04/18/2012, 15:02:34, Note,7
04/18/2012, 15:02:34, Note,7
04/18/2012, 15:02:34, Note,3
04/18/2012, 15:02:36, Note,8
04/18/2012, 15:02:37, Note,7
04/18/2012, 15:02:37, Note,6
04/18/2012, 15:02:38, Note,5
04/18/2012, 15:02:38, Note,2
04/18/2012, 15:02:38, Note,1
04/18/2012, 15:02:38, Note,4
04/18/2012, 15:02:38, Note,2
04/18/2012, 15:02:39, Note,2
04/18/2012, 15:02:39, Note,1
04/18/2012, 15:02:40, Note,2
04/18/2012, 15:02:40, Note,3
04/18/2012, 15:02:40, Note,4
04/18/2012, 15:02:41, Note,6
04/18/2012, 15:02:41, Note,7
04/18/2012, 15:02:42, Note,8
04/18/2012, 15:02:43, Note,7
04/18/2012, 15:02:44, Note,6
04/18/2012, 15:02:44, Note,7
04/18/2012, 15:02:44, Note,7
04/18/2012, 15:02:44, Note,6
04/18/2012, 15:02:45, Note,5
04/18/2012, 15:02:45, Note,4
04/18/2012, 15:02:45, Note,5
04/18/2012, 15:02:46, Note,4
04/18/2012, 15:02:46, Note,5
04/18/2012, 15:02:48, Note,6
04/18/2012, 15:02:48, Note,4
04/18/2012, 15:02:49, Note,5
04/18/2012, 15:02:49, Note,7
04/18/2012, 15:02:49, Note,8
04/18/2012, 15:02:49, Note,8
04/18/2012, 15:02:49, Note,6
04/18/2012, 15:02:49, Note,6
04/18/2012, 15:02:50, Note,5
04/18/2012, 15:02:50, Note,4
04/18/2012, 15:02:51, Note,3
04/18/2012, 15:02:51, Note,4
04/18/2012, 15:02:52, Note,3
04/18/2012, 15:02:53, Note,5
04/18/2012, 15:02:53, Note,4
04/18/2012, 15:02:53, Note,6
04/18/2012, 15:02:54, Note,5
04/18/2012, 15:02:54, Note,5
04/18/2012, 15:02:54, Note,6
04/18/2012, 15:02:55, Note,5
04/18/2012, 15:02:55, Note,2
04/18/2012, 15:02:55, Note,1
04/18/2012, 15:02:56, Note,4
04/18/2012, 15:02:57, Note,4
04/18/2012, 15:02:58, Note,4
04/18/2012, 15:02:58, Note,4
04/18/2012, 15:02:58, Note,4
04/18/2012, 15:02:59, Note,1
04/18/2012, 15:02:59, Note,3
04/18/2012, 15:03:00, Note,3
04/18/2012, 15:03:00, Note,3
04/18/2012, 15:03:00, Note,3
