Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
00/00/0000, 00:00:00, Switching to instrument 0
IR Controller Online
Light Controller Online
Master Init Complete
10/28/2011, 09:40:28, Switching to instrument 1
10/28/2011, 09:40:28, Switching to instrument 2
10/28/2011, 09:40:29, Switching to instrument 3
10/28/2011, 10:01:40, Note,2
10/28/2011, 10:01:41, Note,1
10/28/2011, 10:01:41, Note,2
10/28/2011, 10:01:41, Note,3
10/28/2011, 10:01:42, Note,1
10/28/2011, 10:01:42, Note,2
10/28/2011, 10:01:42, Note,2
10/28/2011, 10:01:42, Note,3
10/28/2011, 10:01:42, Note,4
10/28/2011, 10:01:43, Note,1
10/28/2011, 10:01:43, Note,1
10/28/2011, 10:01:43, Note,3
10/28/2011, 10:01:43, Note,3
10/28/2011, 10:01:43, Note,2
10/28/2011, 10:01:43, Note,1
10/28/2011, 10:01:43, Note,3
10/28/2011, 10:01:43, Note,1
10/28/2011, 10:01:43, Note,3
10/28/2011, 10:01:44, Note,1
10/28/2011, 10:01:44, Note,1
10/28/2011, 10:01:44, Note,1
10/28/2011, 10:01:44, Note,1
10/28/2011, 10:01:44, Note,4
10/28/2011, 10:01:44, Note,2
10/28/2011, 10:01:45, Note,4
10/28/2011, 10:01:45, Note,1
10/28/2011, 10:01:46, Note,3
10/28/2011, 10:01:47, Note,1
10/28/2011, 10:01:47, Note,3
10/28/2011, 10:01:47, Note,5
10/28/2011, 10:01:48, Note,6
10/28/2011, 10:01:48, Note,3
10/28/2011, 10:01:48, Note,6
10/28/2011, 10:01:49, Note,5
10/28/2011, 10:01:49, Note,3
10/28/2011, 10:01:49, Note,4
10/28/2011, 10:01:49, Note,5
10/28/2011, 10:01:49, Note,6
10/28/2011, 10:01:49, Note,3
10/28/2011, 10:01:49, Note,5
10/28/2011, 10:01:49, Note,4
10/28/2011, 10:01:49, Note,1
10/28/2011, 10:01:50, Note,5
10/28/2011, 10:01:50, Note,5
10/28/2011, 10:01:50, Note,4
10/28/2011, 10:01:50, Note,5
10/28/2011, 10:01:50, Note,6
10/28/2011, 10:01:51, Note,2
10/28/2011, 10:01:51, Note,7
10/28/2011, 10:01:51, Note,7
10/28/2011, 10:01:51, Note,7
10/28/2011, 10:01:51, Note,4
10/28/2011, 10:01:51, Note,8
10/28/2011, 10:01:51, Note,6
10/28/2011, 10:01:52, Note,7
10/28/2011, 10:01:52, Note,8
10/28/2011, 10:01:52, Note,7
10/28/2011, 10:01:53, Note,8
10/28/2011, 10:01:53, Note,7
10/28/2011, 10:01:54, Note,8
10/28/2011, 10:01:54, Note,7
10/28/2011, 10:01:54, Note,8
10/28/2011, 10:01:54, Note,8
10/28/2011, 10:01:54, Note,8
10/28/2011, 10:01:55, Note,7
10/28/2011, 10:01:55, Note,2
10/28/2011, 10:01:55, Note,2
10/28/2011, 10:01:56, Note,7
10/28/2011, 10:01:56, Note,5
10/28/2011, 10:01:56, Note,5
10/28/2011, 10:01:56, Note,6
10/28/2011, 10:01:56, Note,7
10/28/2011, 10:01:56, Note,2
10/28/2011, 10:01:56, Note,3
10/28/2011, 10:01:57, Note,6
10/28/2011, 10:01:57, Note,5
10/28/2011, 10:01:58, Note,3
10/28/2011, 10:01:59, Note,3
10/28/2011, 10:02:00, Note,3
10/28/2011, 10:02:00, Note,2
10/28/2011, 10:02:01, Note,2
10/28/2011, 10:02:01, Note,1
10/28/2011, 10:02:01, Note,1
10/28/2011, 10:02:01, Note,1
10/28/2011, 10:02:01, Note,1
10/28/2011, 10:02:02, Note,2
10/28/2011, 10:02:02, Note,7
