Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
00/00/0000, 00:00:00, Switching to instrument 0
IR Controller Online
Light Controller Online
Master Init Complete
11/11/2011, 15:45:55, Switching to instrument 1
11/11/2011, 16:05:07, Note,1
11/11/2011, 16:05:08, Note,1
11/11/2011, 16:05:08, Note,1
11/11/2011, 16:05:08, Note,2
11/11/2011, 16:05:09, Note,3
11/11/2011, 16:05:11, Note,3
11/11/2011, 16:05:11, Note,3
11/11/2011, 16:11:11, Note,8
11/11/2011, 16:11:13, Note,7
11/11/2011, 16:11:13, Note,7
11/11/2011, 16:11:14, Note,7
11/11/2011, 16:11:14, Note,7
11/11/2011, 16:11:15, Note,7
11/11/2011, 16:11:16, Note,7
11/11/2011, 16:11:16, Note,6
11/11/2011, 16:11:17, Note,5
11/11/2011, 16:11:17, Note,5
11/11/2011, 16:11:18, Note,4
11/11/2011, 16:11:19, Note,2
11/11/2011, 16:11:19, Note,1
11/11/2011, 16:11:19, Note,1
11/11/2011, 16:11:19, Note,1
11/11/2011, 16:11:19, Note,1
11/11/2011, 16:11:21, Switching to noises
11/11/2011, 16:11:22, Switching to instrument 0
11/11/2011, 16:11:25, Note,8
11/11/2011, 16:11:26, Note,8
11/11/2011, 16:11:26, Note,8
11/11/2011, 16:11:26, Note,8
11/11/2011, 16:11:26, Note,8
11/11/2011, 16:11:30, Note,1
11/11/2011, 16:11:30, Note,1
11/11/2011, 16:11:30, Note,3
11/11/2011, 16:11:30, Note,1
11/11/2011, 16:11:31, Note,1
11/11/2011, 16:11:32, Note,1
11/11/2011, 16:11:32, Note,1
11/11/2011, 16:11:32, Note,1
11/11/2011, 16:11:33, Note,1
11/11/2011, 16:11:33, Note,2
11/11/2011, 16:11:33, Note,2
11/11/2011, 16:11:33, Note,2
11/11/2011, 16:11:33, Note,1
11/11/2011, 16:11:33, Note,1
11/11/2011, 16:11:35, Note,4
11/11/2011, 16:11:35, Switching to instrument 1
11/11/2011, 16:11:35, Note,4
11/11/2011, 16:11:36, Switching to instrument 2
11/11/2011, 16:11:37, Note,4
11/11/2011, 16:11:37, Note,1
11/11/2011, 16:11:37, Note,4
11/11/2011, 16:11:38, Note,1
11/11/2011, 16:11:38, Note,1
11/11/2011, 16:11:39, Note,1
11/11/2011, 16:11:40, Note,4
11/11/2011, 16:11:40, Note,4
11/11/2011, 16:11:41, Note,8
11/11/2011, 16:11:42, Note,7
11/11/2011, 16:11:42, Note,8
11/11/2011, 16:11:43, Note,8
11/11/2011, 16:11:43, Note,8
11/11/2011, 16:11:44, Note,7
11/11/2011, 16:11:44, Note,7
11/11/2011, 16:11:44, Note,7
11/11/2011, 16:11:45, Note,7
11/11/2011, 16:11:45, Note,7
11/11/2011, 16:11:45, Note,7
11/11/2011, 16:11:45, Note,7
11/11/2011, 16:11:45, Note,7
11/11/2011, 16:11:47, Note,8
11/11/2011, 16:11:47, Note,7
11/11/2011, 16:11:47, Note,7
11/11/2011, 16:11:48, Note,7
11/11/2011, 16:11:48, Note,8
11/11/2011, 16:11:52, Switching to instrument 3
11/11/2011, 16:11:52, Switching to instrument 4
11/11/2011, 16:11:54, Switching to noises
11/11/2011, 16:11:55, Switching to instrument 0
11/11/2011, 16:12:44, Note,2
11/11/2011, 16:12:45, Note,1
11/11/2011, 16:12:45, Note,1
11/11/2011, 16:12:45, Note,1
11/11/2011, 16:12:46, Note,1
11/11/2011, 16:12:46, Note,1
11/11/2011, 16:12:46, Note,1
11/11/2011, 16:12:46, Note,1
11/11/2011, 16:12:46, Note,1
11/11/2011, 16:12:47, Note,1
11/11/2011, 16:12:47, Note,2
11/11/2011, 16:12:47, Note,1
11/11/2011, 16:12:47, Note,2
11/11/2011, 16:12:47, Note,1
11/11/2011, 16:12:48, Note,2
11/11/2011, 16:12:48, Note,2
11/11/2011, 16:12:48, Note,2
11/11/2011, 16:12:49, Note,1
11/11/2011, 16:12:49, Note,1
11/11/2011, 16:12:50, Note,3
11/11/2011, 16:12:50, Note,3
11/11/2011, 16:12:50, Note,1
11/11/2011, 16:12:51, Note,2
11/11/2011, 16:12:51, Note,3
11/11/2011, 16:12:51, Note,3
11/11/2011, 16:12:54, Note,5
11/11/2011, 16:12:54, Note,5
11/11/2011, 16:12:54, Note,6
11/11/2011, 16:12:55, Note,6
11/11/2011, 16:12:58, Note,8
11/11/2011, 16:15:59, Note,8
11/11/2011, 16:15:59, Note,8
11/11/2011, 16:16:00, Note,8
11/11/2011, 16:16:01, Note,8
11/11/2011, 16:16:02, Note,5
11/11/2011, 16:16:02, Note,6
