Turning off amp!
Turning on amp!
Down
Up
Amplifier On and turned up
00/00/0000, 00:00:00, Switching to instrument 0
GPS Configured
IR Controller Online
Light Controller Online
Master Init Complete
01/06/2012, 09:15:47, Switching to instrument 1
01/06/2012, 09:15:51, Switching to instrument 2
01/06/2012, 09:46:56, Note,4
01/06/2012, 09:46:56, Note,4
01/06/2012, 09:46:56, Note,5
01/06/2012, 09:46:57, Note,5
01/06/2012, 09:46:57, Note,4
01/06/2012, 09:46:57, Note,4
01/06/2012, 09:46:57, Note,4
01/06/2012, 09:46:57, Note,5
01/06/2012, 09:46:57, Note,6
01/06/2012, 09:46:58, Note,6
01/06/2012, 09:46:58, Note,7
01/06/2012, 09:46:58, Note,7
01/06/2012, 09:46:58, Note,6
01/06/2012, 09:46:58, Note,5
01/06/2012, 09:46:59, Note,3
01/06/2012, 09:46:59, Note,2
01/06/2012, 09:46:59, Note,2
01/06/2012, 09:47:01, Note,8
01/06/2012, 09:47:01, Note,8
01/06/2012, 09:47:02, Note,8
01/06/2012, 09:47:02, Note,8
01/06/2012, 09:47:03, Note,4
01/06/2012, 09:47:05, Note,7
01/06/2012, 09:47:05, Note,7
01/06/2012, 09:47:06, Note,7
01/06/2012, 09:47:06, Note,7
01/06/2012, 09:47:06, Note,6
01/06/2012, 09:47:06, Note,5
01/06/2012, 09:47:06, Note,4
01/06/2012, 09:47:06, Note,3
01/06/2012, 09:47:08, Note,8
01/06/2012, 09:47:10, Note,7
01/06/2012, 09:47:10, Note,7
01/06/2012, 09:47:10, Note,6
01/06/2012, 09:47:11, Note,5
01/06/2012, 09:47:11, Note,4
01/06/2012, 09:47:11, Note,2
01/06/2012, 09:47:12, Note,3
01/06/2012, 09:47:12, Note,4
01/06/2012, 09:47:13, Note,8
01/06/2012, 09:47:13, Note,2
01/06/2012, 09:47:13, Note,8
01/06/2012, 09:47:13, Note,2
01/06/2012, 09:47:15, Note,3
01/06/2012, 09:47:16, Note,6
01/06/2012, 09:47:16, Note,5
01/06/2012, 09:47:17, Note,2
01/06/2012, 09:47:17, Note,3
01/06/2012, 09:47:17, Note,4
01/06/2012, 09:47:17, Note,4
01/06/2012, 09:47:17, Note,3
01/06/2012, 09:47:18, Note,4
01/06/2012, 09:47:18, Note,3
01/06/2012, 09:47:19, Note,2
01/06/2012, 09:47:19, Note,3
01/06/2012, 09:47:19, Note,4
01/06/2012, 09:47:20, Note,3
01/06/2012, 09:47:21, Note,2
01/06/2012, 09:47:21, Note,2
01/06/2012, 09:47:21, Note,3
01/06/2012, 09:47:22, Note,4
01/06/2012, 09:47:23, Note,5
01/06/2012, 09:47:24, Note,4
01/06/2012, 09:47:24, Note,3
01/06/2012, 09:47:24, Note,1
01/06/2012, 09:47:25, Note,1
01/06/2012, 09:47:25, Note,3
01/06/2012, 09:47:26, Note,2
01/06/2012, 09:47:26, Note,2
01/06/2012, 09:47:27, Note,1
01/06/2012, 09:47:27, Note,1
01/06/2012, 09:47:27, Note,1
01/06/2012, 09:47:27, Note,3
01/06/2012, 09:47:28, Note,1
01/06/2012, 09:47:28, Note,2
01/06/2012, 09:47:29, Note,4
01/06/2012, 09:47:29, Note,3
01/06/2012, 09:47:29, Note,3
01/06/2012, 09:47:30, Note,3
01/06/2012, 09:47:31, Note,4
01/06/2012, 09:47:32, Note,5
01/06/2012, 09:47:33, Note,6
01/06/2012, 09:47:33, Note,7
01/06/2012, 09:47:34, Note,8
01/06/2012, 09:47:35, Note,7
01/06/2012, 09:47:35, Note,7
01/06/2012, 09:47:36, Note,5
01/06/2012, 09:47:36, Note,5
01/06/2012, 09:47:37, Note,2
01/06/2012, 09:47:38, Note,7
01/06/2012, 09:47:38, Note,7
01/06/2012, 09:47:38, Note,7
01/06/2012, 09:47:38, Note,8
01/06/2012, 09:47:39, Note,8
01/06/2012, 09:47:39, Note,7
01/06/2012, 09:47:39, Note,6
01/06/2012, 09:47:39, Note,6
01/06/2012, 09:47:39, Note,7
01/06/2012, 09:47:41, Note,2
01/06/2012, 09:47:41, Note,3
01/06/2012, 09:47:41, Note,3
01/06/2012, 09:47:41, Note,4
01/06/2012, 09:47:42, Note,4
01/06/2012, 09:47:42, Note,4
01/06/2012, 09:47:42, Note,3
01/06/2012, 09:47:42, Note,3
01/06/2012, 09:47:42, Note,4
01/06/2012, 09:47:43, Note,3
01/06/2012, 09:47:44, Note,3
01/06/2012, 09:47:44, Note,6
01/06/2012, 09:47:44, Note,4
01/06/2012, 09:47:44, Note,4
01/06/2012, 09:47:44, Note,3
