S Configured
00/00/0000, 00:00:00, Master Init Complete
05/08/2012, 16:29:07, Note,6
05/08/2012, 16:29:07, Switching to instrument 1
05/08/2012, 16:29:08, Switching to instrument 2
05/08/2012, 16:29:08, Note,6
05/08/2012, 16:29:10, Note,1
05/08/2012, 16:29:10, Note,1
05/08/2012, 16:29:11, Switching to instrument 3
05/08/2012, 16:29:12, Note,6
05/08/2012, 16:29:12, Switching to instrument 4
05/08/2012, 16:29:12, Switching to noises
05/08/2012, 16:29:15, Note,6
05/08/2012, 16:29:15, Note,2
05/08/2012, 16:29:16, Note,3
05/08/2012, 16:29:16, Note,3
05/08/2012, 16:29:16, Note,4
05/08/2012, 16:29:17, Note,5
05/08/2012, 16:29:17, Note,6
05/08/2012, 16:29:17, Note,7
05/08/2012, 16:29:17, Note,7
05/08/2012, 16:29:17, Note,6
05/08/2012, 16:29:17, Note,6
05/08/2012, 16:29:18, Note,6
05/08/2012, 16:29:18, Note,7
05/08/2012, 16:29:18, Note,6
05/08/2012, 16:29:18, Note,7
05/08/2012, 16:29:18, Note,6
05/08/2012, 16:29:18, Note,7
05/08/2012, 16:29:19, Note,7
05/08/2012, 16:29:19, Note,7
05/08/2012, 16:29:19, Note,7
05/08/2012, 16:29:19, Note,6
05/08/2012, 16:29:20, Note,5
05/08/2012, 16:29:20, Note,3
05/08/2012, 16:29:20, Note,5
05/08/2012, 16:29:20, Note,4
05/08/2012, 16:29:20, Note,4
05/08/2012, 16:29:20, Note,2
05/08/2012, 16:29:20, Note,6
05/08/2012, 16:29:21, Note,7
05/08/2012, 16:29:21, Note,8
05/08/2012, 16:29:21, Note,8
05/08/2012, 16:29:21, Note,8
05/08/2012, 16:29:22, Note,6
05/08/2012, 16:29:22, Note,4
05/08/2012, 16:29:22, Note,3
05/08/2012, 16:29:22, Note,3
05/08/2012, 16:29:23, Note,2
05/08/2012, 16:29:23, Note,2
05/08/2012, 16:29:23, Note,3
05/08/2012, 16:29:23, Note,4
05/08/2012, 16:29:23, Note,5
05/08/2012, 16:29:24, Note,5
05/08/2012, 16:29:24, Note,4
05/08/2012, 16:29:24, Note,3
05/08/2012, 16:29:25, Note,4
05/08/2012, 16:29:26, Note,4
05/08/2012, 16:29:27, Note,5
05/08/2012, 16:29:34, Note,6
05/08/2012, 16:29:43, Note,6
05/08/2012, 16:29:46, Note,6
05/08/2012, 16:29:56, Screen Saver
05/08/2012, 16:29:58, Note,6
05/08/2012, 16:30:02, Note,7
05/08/2012, 16:30:02, Note,6
05/08/2012, 16:30:13, Screen Saver
05/08/2012, 16:30:15, Note,8
05/08/2012, 16:30:17, Note,6
05/08/2012, 16:30:26, Note,6
05/08/2012, 16:30:26, Note,6
05/08/2012, 16:30:28, Note,6
05/08/2012, 16:30:35, Note,6
05/08/2012, 16:30:45, Screen Saver
05/08/2012, 16:30:49, Note,6
05/08/2012, 16:30:57, Note,6
05/08/2012, 16:31:07, Screen Saver
05/08/2012, 16:31:07, Note,6
05/08/2012, 16:31:13, Note,6
05/08/2012, 16:31:14, Note,6
05/08/2012, 16:31:17, Note,6
05/08/2012, 16:31:22, Note,6
05/08/2012, 16:31:22, Note,6
05/08/2012, 16:31:27, Note,6
05/08/2012, 16:31:29, Note,6
05/08/2012, 16:31:37, Note,6
05/08/2012, 16:31:39, Note,6
05/08/2012, 16:31:49, Screen Saver
05/08/2012, 16:31:56, Note,6
05/08/2012, 16:31:57, Note,6
05/08/2012, 16:32:00, Note,6
05/08/2012, 16:32:01, Note,4
05/08/2012, 16:32:01, Note,4
05/08/2012, 16:32:02, Note,3
05/08/2012, 16:32:02, Note,2
05/08/2012, 16:32:02, Note,1
05/08/2012, 16:32:02, Note,1
05/08/2012, 16:32:02, Note,2
05/08/2012, 16:32:03, Note,3
05/08/2012, 16:32:03, Note,3
05/08/2012, 16:32:03, Note,2
05/08/2012, 16:32:03, Note,1
05/08/2012, 16:32:04, Note,1
05/08/2012, 16:32:04, Note,2
05/08/2012, 16:32:04, Note,3
05/08/2012, 16:32:04, Note,4
05/08/2012, 16:32:04, Note,5
