Configured
00/00/0000, 00:00:00, Master Init Complete
11/11/2012, 15:44:57, Note,3
11/11/2012, 15:44:57, Note,1
11/11/2012, 15:44:58, Switching to instrument 3
11/11/2012, 15:44:58, Note,2
11/11/2012, 15:44:58, Note,3
11/11/2012, 15:44:58, Note,2
11/11/2012, 15:44:59, Note,2
11/11/2012, 15:44:59, Note,1
11/11/2012, 15:44:59, Note,3
11/11/2012, 15:44:59, Note,1
11/11/2012, 15:44:59, Note,3
11/11/2012, 15:44:59, Note,3
11/11/2012, 15:44:59, Note,1
11/11/2012, 15:44:59, Note,2
11/11/2012, 15:44:59, Note,1
11/11/2012, 15:44:59, Note,2
11/11/2012, 15:44:59, Note,2
11/11/2012, 15:44:59, Note,1
11/11/2012, 15:45:00, Note,3
11/11/2012, 15:45:00, Note,4
11/11/2012, 15:45:00, Note,2
11/11/2012, 15:45:00, Note,3
11/11/2012, 15:45:00, Note,2
11/11/2012, 15:45:00, Note,1
11/11/2012, 15:45:00, Note,2
11/11/2012, 15:45:00, Note,2
11/11/2012, 15:45:00, Note,3
11/11/2012, 15:45:00, Note,3
11/11/2012, 15:45:00, Note,4
11/11/2012, 15:45:01, Note,1
11/11/2012, 15:45:01, Note,3
11/11/2012, 15:45:01, Note,2
11/11/2012, 15:45:01, Note,3
11/11/2012, 15:45:01, Note,1
11/11/2012, 15:45:01, Note,3
11/11/2012, 15:45:01, Note,4
11/11/2012, 15:45:01, Note,3
11/11/2012, 15:45:01, Note,2
11/11/2012, 15:45:02, Note,1
11/11/2012, 15:45:02, Note,2
11/11/2012, 15:45:02, Note,2
11/11/2012, 15:45:02, Note,4
11/11/2012, 15:45:02, Note,4
11/11/2012, 15:45:02, Note,3
11/11/2012, 15:45:02, Note,2
11/11/2012, 15:45:02, Note,2
11/11/2012, 15:45:02, Note,1
11/11/2012, 15:45:03, Note,3
11/11/2012, 15:45:03, Note,4
11/11/2012, 15:45:03, Note,5
11/11/2012, 15:45:04, Switching to instrument 4
11/11/2012, 15:45:04, Note,2
11/11/2012, 15:45:04, Note,3
11/11/2012, 15:45:04, Note,3
11/11/2012, 15:45:04, Note,4
11/11/2012, 15:45:05, Note,3
11/11/2012, 15:45:05, Note,2
11/11/2012, 15:45:05, Note,3
11/11/2012, 15:45:05, Note,2
11/11/2012, 15:45:05, Note,3
11/11/2012, 15:45:05, Note,2
11/11/2012, 15:45:05, Note,1
11/11/2012, 15:45:05, Note,3
11/11/2012, 15:45:05, Note,1
11/11/2012, 15:45:05, Note,2
11/11/2012, 15:45:06, Note,3
11/11/2012, 15:45:06, Note,4
11/11/2012, 15:45:06, Note,2
11/11/2012, 15:45:06, Note,2
11/11/2012, 15:45:06, Note,4
11/11/2012, 15:45:06, Note,5
11/11/2012, 15:45:07, Note,2
11/11/2012, 15:45:07, Note,1
11/11/2012, 15:45:07, Note,2
11/11/2012, 15:45:07, Note,4
11/11/2012, 15:45:07, Note,4
11/11/2012, 15:45:07, Note,5
11/11/2012, 15:45:07, Note,3
11/11/2012, 15:45:07, Note,2
11/11/2012, 15:45:07, Note,2
11/11/2012, 15:45:07, Note,4
11/11/2012, 15:45:07, Note,1
11/11/2012, 15:45:08, Note,2
11/11/2012, 15:45:08, Note,2
11/11/2012, 15:45:08, Note,3
11/11/2012, 15:45:08, Note,4
11/11/2012, 15:45:09, Note,4
11/11/2012, 15:45:09, Note,3
11/11/2012, 15:45:10, Note,4
11/11/2012, 15:45:10, Note,3
11/11/2012, 15:45:10, Note,4
11/11/2012, 15:45:10, Note,3
11/11/2012, 15:45:10, Note,3
11/11/2012, 15:45:11, Note,3
11/11/2012, 15:45:11, Note,3
11/11/2012, 15:45:11, Note,2
11/11/2012, 15:45:11, Note,4
11/11/2012, 15:45:11, Note,3
11/11/2012, 15:45:12, Note,4
11/11/2012, 15:45:12, Note,5
11/11/2012, 15:45:12, Note,5
11/11/2012, 15:45:13, Switching to noises
11/11/2012, 15:45:13, Note,3
11/11/2012, 15:45:13, Note,2
11/11/2012, 15:45:13, Note,3
11/11/2012, 15:45:14, Note,2
11/11/2012, 15:45:14, Note,1
11/11/2012, 15:45:14, Note,1
11/11/2012, 15:45:14, Note,3
11/11/2012, 15:45:14, Note,2
11/11/2012, 15:45:14, Note,1
11/11/2012, 15:45:14, Note,3
11/11/2012, 15:45:15, Note,3
11/11/2012, 15:45:15, Note,4
11/11/2012, 15:45:15, Note,2
11/11/2012, 15:45:15, Note,2
11/11/2012, 15:45:15, Note,4
11/11/2012, 15:45:15, Note,2
11/11/2012, 15:45:15, Note,2
11/11/2012, 15:45:15, Note,4
11/11/2012, 15:45:15, Note,3
11/11/2012, 15:45:16, Note,2
11/11/2012, 15:45:16, Note,1
11/11/2012, 15:45:16, Note,4
11/11/2012, 15:45:16, Note,5
11/11/2012, 15:45:16, Note,3
11/11/2012, 15:45:16, Note,2
11/11/2012, 15:45:16, Note,3
11/11/2012, 15:45:17, Note,2
11/11/2012, 15:45:17, Note,2
11/11/2012, 15:45:17, Note,2
11/11/2012, 15:45:17, Note,3
11/11/2012, 15:45:17, Note,4
11/11/2012, 15:45:18, Note,5
11/11/2012, 15:45:18, Note,4
11/11/2012, 15:45:18, Note,3
11/11/2012, 15:45:18, Note,4
11/11/2012, 15:45:18, Note,4
11/11/2012, 15:45:18, Note,3
11/11/2012, 15:45:19, Note,4
11/11/2012, 15:45:19, Note,4
11/11/2012, 15:45:19, Note,4
11/11/2012, 15:45:20, Note,4
11/11/2012, 15:45:20, Note,2
11/11/2012, 15:45:20, Note,3
11/11/2012, 15:45:20, Note,4
11/11/2012, 15:45:20, Note,5
11/11/2012, 15:45:20, Note,4
11/11/2012, 15:45:21, Note,6
11/11/2012, 15:45:21, Note,7
11/11/2012, 15:45:21, Note,5
11/11/2012, 15:45:22, Note,5
11/11/2012, 15:45:22, Note,4
11/11/2012, 15:45:22, Note,3
11/11/2012, 15:45:22, Note,2
11/11/2012, 15:45:22, Note,1
11/11/2012, 15:45:22, Note,1
11/11/2012, 15:45:22, Note,3
11/11/2012, 15:45:25, Note,2
11/11/2012, 15:45:25, Note,2
11/11/2012, 15:45:25, Note,3
11/11/2012, 15:45:25, Note,2
11/11/2012, 15:45:25, Note,3
11/11/2012, 15:45:25, Note,4
11/11/2012, 15:45:25, Note,4
11/11/2012, 15:45:25, Note,4
11/11/2012, 15:45:26, Note,5
11/11/2012, 15:45:26, Note,4
11/11/2012, 15:45:26, Note,5
11/11/2012, 15:45:26, Note,4
11/11/2012, 15:45:27, Note,2
11/11/2012, 15:45:27, Note,1
11/11/2012, 15:45:28, Switching to instrument 0
11/11/2012, 15:45:28, Note,1
11/11/2012, 15:45:28, Note,2
11/11/2012, 15:45:29, Note,4
11/11/2012, 15:45:30, Note,4
11/11/2012, 15:45:33, Note,1
11/11/2012, 15:45:33, Note,3
11/11/2012, 15:45:33, Note,3
11/11/2012, 15:45:34, Note,2
11/11/2012, 15:45:34, Note,3
11/11/2012, 15:45:34, Note,2
11/11/2012, 15:45:35, Note,1
11/11/2012, 15:45:35, Note,3
11/11/2012, 15:45:36, Note,4
11/11/2012, 15:45:36, Note,3
11/11/2012, 15:45:36, Note,2
11/11/2012, 15:45:36, Note,1
11/11/2012, 15:45:37, Note,1
11/11/2012, 15:45:37, Note,2
11/11/2012, 15:45:37, Note,3
11/11/2012, 15:45:38, Note,4
11/11/2012, 15:45:38, Note,4
11/11/2012, 15:45:38, Note,3
11/11/2012, 15:45:39, Note,2
11/11/2012, 15:45:39, Note,1
11/11/2012, 15:45:39, Note,2
11/11/2012, 15:45:40, Note,3
11/11/2012, 15:45:50, Screen Saver
11/11/2012, 15:46:01, Screen Saver
11/11/2012, 15:46:12, Screen Saver
11/11/2012, 15:46:23, Screen Saver
11/11/2012, 15:46:26, Note,1
11/11/2012, 15:46:26, Note,2
11/11/2012, 15:46:26, Note,3
11/11/2012, 15:46:26, Note,4
11/11/2012, 15:46:28, Note,4
11/11/2012, 15:46:28, Note,3
11/11/2012, 15:46:29, Note,2
11/11/2012, 15:46:29, Note,2
11/11/2012, 15:46:29, Note,1
11/11/2012, 15:46:29, Note,1
11/11/2012, 15:46:29, Note,1
11/11/2012, 15:46:29, Note,1
11/11/2012, 15:46:29, Note,1
11/11/2012, 15:46:29, Note,1
11/11/2012, 15:46:29, Note,1
11/11/2012, 15:46:29, Note,2
11/11/2012, 15:46:29, Note,1
11/11/2012, 15:46:30, Note,5
11/11/2012, 15:46:31, Note,1
11/11/2012, 15:46:31, Note,2
11/11/2012, 15:46:31, Note,5
11/11/2012, 15:46:31, Note,3
11/11/2012, 15:46:32, Note,6
11/11/2012, 15:46:32, Note,5
11/11/2012, 15:46:33, Note,6
11/11/2012, 15:46:33, Note,5
11/11/2012, 15:46:33, Note,4
11/11/2012, 15:46:33, Note,3
11/11/2012, 15:46:33, Note,5
11/11/2012, 15:46:33, Note,6
11/11/2012, 15:46:33, Note,2
11/11/2012, 15:46:34, Note,2
11/11/2012, 15:46:34, Note,3
11/11/2012, 15:46:34, Note,5
11/11/2012, 15:46:34, Note,1
11/11/2012, 15:46:34, Note,3
11/11/2012, 15:46:34, Note,1
11/11/2012, 15:46:34, Note,2
11/11/2012, 15:46:34, Note,3
11/11/2012, 15:46:35, Note,4
11/11/2012, 15:46:35, Note,4
11/11/2012, 15:46:35, Note,5
11/11/2012, 15:46:36, Note,6
11/11/2012, 15:46:36, Note,7
11/11/2012, 15:46:36, Note,8
11/11/2012, 15:46:37, Note,8
11/11/2012, 15:46:37, Note,8
11/11/2012, 15:46:37, Note,8
11/11/2012, 15:46:37, Note,8
11/11/2012, 15:46:37, Note,8
11/11/2012, 15:46:37, Note,7
11/11/2012, 15:46:38, Note,5
11/11/2012, 15:46:38, Note,5
11/11/2012, 15:46:39, Note,5
11/11/2012, 15:46:39, Note,5
11/11/2012, 15:46:39, Note,4
11/11/2012, 15:46:39, Note,4
11/11/2012, 15:46:39, Note,4
11/11/2012, 15:46:40, Note,4
11/11/2012, 15:46:40, Note,5
11/11/2012, 15:46:41, Note,5
11/11/2012, 15:46:41, Note,5
11/11/2012, 15:46:42, Note,6
11/11/2012, 15:46:42, Note,6
11/11/2012, 15:46:42, Note,7
11/11/2012, 15:46:42, Note,7
11/11/2012, 15:46:44, Note,6
11/11/2012, 15:46:44, Note,6
11/11/2012, 15:46:44, Note,5
11/11/2012, 15:46:45, Note,6
11/11/2012, 15:46:45, Note,5
11/11/2012, 15:46:46, Note,6
11/11/2012, 15:46:46, Note,6
11/11/2012, 15:46:46, Note,7
11/11/2012, 15:46:48, Note,7
11/11/2012, 15:46:48, Note,7
11/11/2012, 15:46:48, Note,7
11/11/2012, 15:46:49, Note,8
11/11/2012, 15:46:49, Note,7
11/11/2012, 15:46:49, Note,8
11/11/2012, 15:46:49, Note,8
11/11/2012, 15:46:49, Note,8
11/11/2012, 15:46:50, Note,7
11/11/2012, 15:46:50, Note,7
11/11/2012, 15:46:51, Note,7
11/11/2012, 15:46:51, Note,6
11/11/2012, 15:46:51, Note,7
11/11/2012, 15:46:51, Note,7
11/11/2012, 15:46:51, Note,7
11/11/2012, 15:46:52, Note,8
11/11/2012, 15:46:53, Note,6
11/11/2012, 15:46:53, Note,5
11/11/2012, 15:46:53, Note,5
11/11/2012, 15:46:53, Note,7
11/11/2012, 15:46:53, Note,4
11/11/2012, 15:46:53, Note,5
11/11/2012, 15:46:53, Note,3
11/11/2012, 15:46:54, Note,4
11/11/2012, 15:46:54, Note,3
11/11/2012, 15:46:54, Note,4
11/11/2012, 15:46:54, Note,3
11/11/2012, 15:46:54, Note,2
11/11/2012, 15:46:55, Note,4
11/11/2012, 15:46:55, Note,3
11/11/2012, 15:46:55, Note,5
11/11/2012, 15:46:56, Note,6
11/11/2012, 15:46:58, Note,3
11/11/2012, 15:46:58, Note,4
11/11/2012, 15:46:59, Note,4
11/11/2012, 15:46:59, Note,3
11/11/2012, 15:46:59, Note,4
11/11/2012, 15:46:59, Note,4
11/11/2012, 15:47:00, Note,3
11/11/2012, 15:47:00, Note,4
11/11/2012, 15:47:00, Note,4
11/11/2012, 15:47:00, Note,3
11/11/2012, 15:47:00, Note,4
11/11/2012, 15:47:01, Note,5
11/11/2012, 15:47:01, Note,4
11/11/2012, 15:47:01, Note,6
11/11/2012, 15:47:02, Note,6
11/11/2012, 15:47:02, Note,8
11/11/2012, 15:47:02, Note,7
11/11/2012, 15:47:03, Note,8
11/11/2012, 15:47:13, Screen Saver
11/11/2012, 15:47:24, Screen Saver
11/11/2012, 15:47:35, Screen Saver
11/11/2012, 15:47:46, Screen Saver
11/11/2012, 15:47:57, Screen Saver
11/11/2012, 15:48:08, Screen Saver
11/11/2012, 15:48:19, Screen Saver
11/11/2012, 15:48:30, Screen Saver
11/11/2012, 15:48:41, Screen Saver
11/11/2012, 15:48:52, Screen Saver
11/11/2012, 15:49:03, Screen Saver
11/11/2012, 15:49:14, Screen Saver
11/11/2012, 15:49:25, Screen Saver
11/11/2012, 15:49:36, Screen Saver
11/11/2012, 15:49:47, Screen Saver
11/11/2012, 15:49:58, Screen Saver
11/11/2012, 15:50:09, Screen Saver
11/11/2012, 15:50:20, Screen Saver
11/11/2012, 15:50:31, Screen Saver
11/11/2012, 15:50:43, Screen Saver
11/11/2012, 15:50:54, Screen Saver
11/11/2012, 15:51:05, Screen Saver
11/11/2012, 15:51:16, Screen Saver
11/11/2012, 15:51:27, Screen Saver
11/11/2012, 15:51:38, Screen Saver
11/11/2012, 15:51:49, Screen Saver
11/11/2012, 15:52:00, Screen Saver
11/11/2012, 15:52:11, Screen Saver
11/11/2012, 15:52:22, Screen Saver
11/11/2012, 15:52:33, Screen Saver
11/11/2012, 15:52:44, Screen Saver
11/11/2012, 15:52:55, Screen Saver
11/11/2012, 15:53:06, Screen Saver
11/11/2012, 15:53:17, Screen Saver
11/11/2012, 15:53:28, Screen Saver
11/11/2012, 15:53:39, Screen Saver
11/11/2012, 15:53:50, Screen Saver
11/11/2012, 15:54:01, Screen Saver
11/11/2012, 15:54:12, Screen Saver
11/11/2012, 15:54:18, Note,7
11/11/2012, 15:54:18, Note,6
11/11/2012, 15:54:19, Note,6
11/11/2012, 15:54:19, Note,7
11/11/2012, 15:54:19, Note,7
11/11/2012, 15:54:20, Note,8
11/11/2012, 15:54:20, Note,8
11/11/2012, 15:54:20, Note,8
11/11/2012, 15:54:20, Note,8
11/11/2012, 15:54:20, Note,8
11/11/2012, 15:54:20, Note,8
11/11/2012, 15:54:21, Note,7
11/11/2012, 15:54:21, Note,6
11/11/2012, 15:54:22, Note,7
11/11/2012, 15:54:22, Note,8
11/11/2012, 15:54:22, Note,8
11/11/2012, 15:54:22, Note,8
11/11/2012, 15:54:23, Note,8
11/11/2012, 15:54:24, Note,7
11/11/2012, 15:54:24, Note,6
11/11/2012, 15:54:25, Note,5
11/11/2012, 15:54:25, Note,5
11/11/2012, 15:54:26, Note,4
11/11/2012, 15:54:26, Note,3
11/11/2012, 15:54:26, Note,3
11/11/2012, 15:54:26, Note,2
11/11/2012, 15:54:26, Note,2
11/11/2012, 15:54:27, Note,2
11/11/2012, 15:54:28, Note,1
11/11/2012, 15:54:31, Note,1
11/11/2012, 15:54:33, Note,6
11/11/2012, 15:54:34, Note,6
11/11/2012, 15:54:36, Note,6
11/11/2012, 15:54:37, Note,5
11/11/2012, 15:54:37, Note,4
11/11/2012, 15:54:37, Note,4
11/11/2012, 15:54:38, Note,3
11/11/2012, 15:54:38, Note,3
11/11/2012, 15:54:40, Note,2
11/11/2012, 15:54:40, Note,1
11/11/2012, 15:54:41, Note,1
11/11/2012, 15:54:43, Note,1
11/11/2012, 15:54:45, Note,1
11/11/2012, 15:54:45, Note,1
11/11/2012, 15:54:45, Note,1
11/11/2012, 15:54:48, Note,1
11/11/2012, 15:54:48, Note,1
11/11/2012, 15:54:49, Note,1
11/11/2012, 15:54:49, Note,1
11/11/2012, 15:54:59, Screen Saver
